"parameter","perturbation_pct","arm","V_peak","V_AUC","K_peak","L_peak","C_pro_max","mortality_prob","S_V_peak","S_V_AUC","S_K_peak","S_L_peak","S_C_pro_max","S_mortality"
"K_CC",-25,"placebo",34182581.7752259,392927615.340417,53.0439941589106,183.400702245566,0.376378005999567,0.0958369150605078,-3.13693268230043e-10,-9.37803234755809e-10,-4.67810008107375e-10,-4.90600218224872e-10,-4.19957965685722e-06,-3.43537624172656e-09
"d_C",-25,"placebo",34182581.7559177,392927615.296724,53.0440147620283,183.400754096187,0.500458516434348,0.0958655841560681,1.94571798295542e-09,-4.93008173805964e-10,-1.55413042519604e-06,-1.13136133335376e-06,-1.31868529920183,-0.00119658183386793
"k_CD8_I",-25,"placebo",34388865.1575093,430407246.945144,54.05103727486,187.244946856645,0.378475747361835,0.0967386029751936,-0.024139005805559,-0.381542352763027,-0.0759402181708914,-0.083843618633419,-0.022298207531637,-0.0376342663868049
"k_neut_IgG",-25,"placebo",34185021.6009259,393012025.014095,53.0500914402579,183.422943854359,0.376377656068611,0.0958409053016997,-0.000285505453857585,-0.000859290744908089,-0.000459790982806614,-0.000485093699590994,-4.80644781431326e-07,-0.000166546408626863
"k_KP",-25,"placebo",34182581.7725451,392927615.248294,39.831516278552,183.400702223071,0.376377610842627,0.0881830081813313,0,0,0.996341100266163,0,0,0.319455474901656
"k_LP",-25,"placebo",34182581.7706725,392927615.208771,53.0439941490243,160.454832839303,0.376377610810668,0.0952841453126164,2.19136891718099e-10,4.0234448846467e-10,2.7770752255167e-10,0.50045325030128,3.39648162786442e-10,0.0230712629140096
"d_K",-25,"placebo",34182581.7725451,392927615.248294,69.0937036971399,183.400702223071,0.376377610842627,0.102329498362109,0,0,-1.21029419453051,0,0,-0.270984657024346
"d_L",-25,"placebo",34182581.7715011,392927615.10052,53.0439941522483,236.166342172762,0.37637761082386,0.0968191109947378,1.22177677379362e-10,1.50434584101565e-09,3.45932170749268e-11,-1.15082743544813,1.99456174522261e-10,-0.0409944755322031
"EC50_RBV",-25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",-25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",-25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",-50,"placebo",0,0,0,0,0,0,2,2,2,2,2,2
"p",-50,"placebo",0,0,0,0,0,0,2,2,2,2,2,2
