"arm","start_day","duration_days","V_peak","t_V_peak","K_peak","t_K_peak","L_peak","T_end_frac","mortality_prob","rebound","placebo_mortality","placebo_K_peak","RRR"
"combination",1,10,14515581.0414262,1,4.28605765617227,21.8,30.2708128094073,0.80124451969769,0.0254303441670904,FALSE,0.0962672365568919,53.043994152707,73.5835938823677
"combination",1,15,14515581.0414262,1,3.64919639670041,28.2,25.5266317577298,0.911265148859843,0.0223050809078066,FALSE,0.0962672365568919,53.043994152707,76.8300392682148
"combination",1,21,14515581.0414262,1,2.17156031797333,1,10.6986189040061,0.970478689055744,0.00953722686405359,FALSE,0.0962672365568919,53.043994152707,90.0929670309823
"combination",1,28,14515581.0414262,1,2.17156031797333,1,10.6986189040061,0.99619548114742,0.00953501822939936,FALSE,0.0962672365568919,53.043994152707,90.0952613054761
"combination",1,35,14515581.0414262,1,2.17156031797333,1,10.6986189040061,0.999532551573137,0.00953431390328259,FALSE,0.0962672365568919,53.043994152707,90.0959929418479
"combination",2,10,30569299.1990995,2,9.03526191761288,2,33.4229855068013,0.22418765969471,0.0341518783294959,FALSE,0.0962672365568919,53.043994152707,64.5238821109061
"combination",2,15,30569299.1990995,2,9.03526191761288,2,33.4229855068013,0.533567374761871,0.0349607449590293,FALSE,0.0962672365568919,53.043994152707,63.6836516665062
"combination",2,21,30569299.1990995,2,9.03526191761288,2,33.4229855068013,0.861159870953311,0.0295464388018551,FALSE,0.0962672365568919,53.043994152707,69.3078976206055
"combination",2,28,30569299.1990995,2,9.03526191761288,2,33.4229855068013,0.980613296974121,0.029544826998182,FALSE,0.0962672365568919,53.043994152707,69.3095719219886
"combination",2,35,30569299.1990995,2,9.03526191761288,2,33.4229855068013,0.997584886044053,0.0295443087302017,FALSE,0.0962672365568919,53.043994152707,69.310110285817
"combination",3,10,34182581.7725451,3,21.3084007462541,3,65.014961388645,0.0126148147254132,0.0524985975075763,FALSE,0.0962672365568919,53.043994152707,45.4657686402468
"combination",3,15,34182581.7725451,3,21.3084007462541,3,65.014961388645,0.0508285756203196,0.0518710319986234,FALSE,0.0962672365568919,53.043994152707,46.1176680105814
"combination",3,21,34182581.7725451,3,21.3084007462541,3,65.014961388645,0.241162624119637,0.0518179983985201,FALSE,0.0962672365568919,53.043994152707,46.1727579892701
"combination",3,28,34182581.7725451,3,21.3084007462541,3,65.014961388645,0.721857826922002,0.0518170336361298,FALSE,0.0962672365568919,53.043994152707,46.1737601603355
"combination",3,35,34182581.7725451,3,21.3084007462541,3,65.014961388645,0.954941817239326,0.0518167208343386,FALSE,0.0962672365568919,53.043994152707,46.1740850910206
"combination",4,10,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.000623599156725706,0.0678863216012873,FALSE,0.0962672365568919,53.043994152707,29.481385329714
"combination",4,15,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.00264016947441377,0.0675823628008981,FALSE,0.0962672365568919,53.043994152707,29.797130136837
"combination",4,21,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.0156023163230275,0.0675702054920771,FALSE,0.0962672365568919,53.043994152707,29.8097588454775
"combination",4,28,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.11459839769308,0.0675695944012386,FALSE,0.0962672365568919,53.043994152707,29.8103936313718
"combination",4,35,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.513844585541518,0.0675694007439141,FALSE,0.0962672365568919,53.043994152707,29.8105947977617
