"time","T","I","V","NSs","F_I","NK","F_II","C_pro","C_anti","P","PLT","K","L","CD8_N","CD8_E","CD4","IgM","IgG","C_RBV","C_FAV_gut","C_FAV","C_FAVI_RTP","Hgb_drop","arm","sample_id"
16.5,0.0140764425995272,-1.35877252719045e-13,5.81517201336739e-08,3.14803178750543,1.08905700511175e-17,0.000488867051150829,4.04263149301828e-05,1.76427095228469e-08,1.11314498105288e-06,0.116229439094479,25116.9161371001,0.226715180211333,0.0290256040984723,11.7654024535601,44.1653037286548,0.337603747340351,0.336804284174703,0.0826774559352241,57.0804846309905,0,0,0,6.80854174521524,"ribavirin",18
17,0.0156358836325267,-2.90422039199598e-14,1.50670690792823e-08,2.02679293136188,4.93183558134336e-18,0.000356697548741614,2.94967201284197e-05,1.33511119350615e-08,8.51430028227683e-07,0.112511726146926,25444.8173787971,0.226470669736346,0.0245023485420923,10.8284517704478,42.6915079481113,0.319216901825256,0.332819074688389,0.0831658238329035,48.6443953746395,0,0,0,6.76601411925316,"ribavirin",18
17.5,0.0173566263966679,2.07922147307908e-14,3.90382761870426e-09,1.30490727661743,1.94449130442131e-18,0.000260261232534337,2.15220287427538e-05,1.01461305008801e-08,6.51247450774948e-07,0.108823680739687,25757.5816159591,0.226299268523095,0.0209908830438672,9.96611617900366,41.2365880090751,0.301831455407947,0.328881019871407,0.083611838424387,41.4551000514706,0,0,0,6.70970102199445,"ribavirin",18
18,0.0192553552339128,5.33958986981545e-14,1.01142315625362e-09,0.840136638557438,1.05565411617452e-18,0.000189897321690054,1.57033616902136e-05,7.74465597450358e-09,4.98130383393116e-07,0.10517552268206,26055.9340660037,0.226201593244472,0.0182589826690149,9.17245362485376,39.8037880860738,0.285392869089214,0.324989561769941,0.0840179597443635,35.3283313944329,0,0,0,6.64205784530631,"ribavirin",18
18.5,0.0213504802410691,-5.29000914387344e-17,2.62093786171871e-10,0.540904004400866,5.24646420589494e-19,0.00013855691234875,1.14578209278064e-05,5.93859904721952e-09,3.81013208915388e-07,0.101576171202217,26340.5634850237,0.226180556026764,0.0161289867938414,8.44199525561854,38.3958651728966,0.269849574216473,0.321144149032119,0.084386522896306,30.1070555266942,0,0,0,6.56516838632495,"ribavirin",18
19,0.0236623157742407,-7.61498874627392e-15,6.79031357298716e-11,0.348249473494053,2.21476626744524e-19,0.000101096833748423,8.36009880309178e-06,4.57482896335946e-09,2.91431920876193e-07,0.0980333164090583,26612.124064033,0.226240908353414,0.0144650459494484,7.76970773695493,37.0151389094359,0.255152810710378,0.317344236829894,0.0847197426267613,25.6574470604835,0,0,0,6.48079994780904,"ribavirin",18
19.5,0.0262132774169791,-7.26654530777333e-16,1.76066185786831e-11,0.224212974605269,1.15004814451122e-19,7.37644165191989e-05,6.09987281905141e-06,3.54050373187356e-09,2.22912476937856e-07,0.0945535123957263,26871.237234255,0.226388920534874,0.0131633378146765,7.15095856960115,35.6635369088739,0.241256474102051,0.313589286781855,0.0850197179290585,21.8654590475643,0,0,0,6.39045029127883,"ribavirin",18
20,0.0290280993219446,1.14583320793651e-15,4.56248290851422e-12,0.144354727878634,4.34871654423599e-20,5.38215584272426e-05,4.45071868344929e-06,2.75233900752449e-09,1.70502948841695e-07,0.0911422769798776,27118.4933821958,0.226632138733944,0.0121445575592081,6.58148416843709,34.3426359691754,0.228116970901102,0.309878766876944,0.0852884366489952,18.6338998667186,0,0,0,6.29538764711698,"ribavirin",18
20.5,0.0321340740334143,1.81098737070374e-16,1.18362455305786e-12,0.0929397038482362,1.84642028832085e-20,3.92704272356506e-05,3.24742781439603e-06,2.14875473959303e-09,1.30415663631523e-07,0.0878041904621331,27354.4534767138,0.226979175194525,0.0113481494574766,6.05736048360351,33.0536995210348,0.215693081840707,0.306212151399082,0.0855277800681516,15.8799421264149,0,0,0,6.19668480784171,"ribavirin",18
21,0.0355613171159554,-5.98760204068319e-17,3.06436767877904e-13,0.0598372403504266,6.77140494247764e-21,2.8653322204923e-05,2.36945718573975e-06,1.68412483359777e-09,9.97534779779956e-08,0.0845429897080742,27579.6506110943,0.227439496383101,0.0107278709088626,5.57497596124035,31.7977116352055,0.203945832570746,0.302588920852682,0.0857395274434164,13.532999733913,0,0,0,6.09524817909233,"ribavirin",18
